Exact	Measured
0	-2.24101	
27.6856	22.8988	
9.21538	4.94238	
49.1391	47.7365	
45.9562	44.3828	
32.2842	32.1863	
0	-1.17711	
33.1697	33.2886	
0	4.68873	
0	-5.65281	
3.6015	4.86752	
47.1155	36.6162	
35.4115	39.634	
37.6377	48.8966	
30.744	34.9872	
45.2194	39.8188	
37.1051	36.5421	
49.5868	58.9284	
24.0002	23.2933	
38.714	35.4016	
52.0979	48.8869	
44.3164	51.2918	
0	1.58828	
0	-0.650087	
26.4383	20.3401	
45.7005	51.0506	
32.0968	33.6541	
0	2.87308	
45.9271	49.616	
0	-1.74159	
38.0231	37.6083	
23.4328	21.036	
43.6062	37.4218	
49.6599	58.7751	
24.3185	24.3142	
35.7806	30.3977	
0	0.769223	
0	3.60668	
0	3.85573	
0	0.989211	
43.5681	35.7266	
43.3298	35.6772	
28.7997	29.7144	
46.4262	36.5571	
9.73476	10.7362	
26.4979	24.3983	
43.8993	47.9269	
36.2787	32.7172	
28.6316	23.9688	
44.7076	47.063	
46.1141	47.3571	
0	-2.30284	
25.958	37.1178	
0	-2.39161	
48.845	50.8476	
0	0.708331	
45.3357	54.8534	
47.354	51.3796	
45.1374	58.5749	
6.49597	9.35862	
46.1276	44.485	
16.3773	15.7956	
0	-0.287223	
27.6476	36.9483	
0	0.660673	
43.3137	43.8923	
49.5817	44.4693	
0	2.22347	
44.3541	46.2191	
49.6747	44.6768	
36.0542	39.1802	
37.0982	32.3081	
44.1177	48.5223	
49.0864	44.7613	
28.1123	24.7185	
47.0712	47.2458	
44.8557	60.2772	
20.4502	25.6259	
34.3447	36.4319	
41.0906	39.6944	
30.5484	32.1218	
0	0.94596	
36.3518	37.6972	
0	-3.2347	
51.0577	56.5259	
31.8198	21.8468	
0	-0.687192	
45.9441	58.7976	
43.627	40.413	
33.315	22.2413	
27.8562	25.371	
35.0489	47.3823	
25.1916	34.7957	
29.14	21.0226	
10.4282	3.17535	
11.4522	-2.66386	
28.4248	33.3183	
42.122	41.6353	
45.4364	38.8818	
0	-5.89812	
0	-8.34122	
0	7.10862	
44.1139	45.263	
41.2416	40.7259	
0	-0.52222	
0	1.72358	
32.82	23.13	
0	8.97028	
20.5266	17.9736	
48.9808	51.6401	
42.4771	38.3267	
49.1904	46.6333	
0	2.01416	
49.8669	60.5373	
45.0633	43.8376	
36.5413	36.028	
43.2045	39.8269	
44.1239	45.2746	
42.8004	47.9379	
48.8649	56.5185	
0	-0.927679	
42.6638	47.9963	
0	4.58915	
50.1089	54.6592	
35.988	28.9845	
49.5723	55.812	
31.2652	25.9059	
20.5641	28.7397	
9.64999	15.6937	
12.397	10.5347	
26.7246	27.3291	
51.5564	52.2879	
30.1957	36.6944	
24.5624	9.13408	
38.4296	26.3936	
47.6405	50.6889	
28.5036	34.1046	
30.5023	21.7327	
0	1.56344	
35.584	26.8394	
0	-5.10869	
21.5924	21.3099	
48.8471	42.829	
0	2.97321	
37.3254	41.6531	
36.3674	38.818	
27.7494	25.8108	
32.1291	24.5311	
7.73229	8.35318	
7.81433	8.18995	
37.0983	42.3067	
20.7275	19.4762	
47.457	44.2883	
40.2781	38.1431	
28.1345	40.1393	
12.69	6.086	
50.696	64.9785	
0	-1.57852	
52.0601	49.9482	
22.1376	24.5233	
50.4836	56.2357	
8.1293	16.0171	
0	2.19028	
45.2547	55.4021	
41.5667	39.5925	
40.0963	54.5549	
41.5166	26.5631	
21.5408	17.3254	
32.9241	32.4168	
28.7358	21.4436	
33.5615	41.3398	
7.1343	9.79662	
29.4274	36.8752	
32.8044	32.5586	
29.7296	26.8966	
39.9901	38.7614	
33.6176	22.0681	
42.9383	38.6985	
35.6772	35.9164	
40.0435	41.9693	
34.8186	28.3581	
45.5676	50.3692	
0	-2.44254	
36.267	27.5671	
44.5488	48.2888	
36.2443	36.875	
27.4184	35.9741	
45.6177	44.0608	
35.9264	27.2663	
11.08	9.21033	
33.5035	31.6321	
0	-1.96254	
0	-2.37023	
16.2579	15.3659	
0	0.352613	
0	-0.714842	
33.059	31.1872	
0.34558	3.64355	
24.7355	25.4414	
0	4.36617	
43.7829	40.3273	
0	2.1555	
