Exact	Measured
0	-0.214645
69.2899	75.4385
69.2899	71.363
69.2899	69.815
69.2899	76.2001
69.2899	71.4436
69.2899	70.9025
69.2899	67.461
69.2899	69.5991
0	1.92232
0	-4.39896
0	1.5996
69.2899	84.677
69.2899	79.0214
69.2899	64.4812
69.2899	70.7922
69.2899	64.0832
69.2899	78.2772
0	-4.5672
69.2899	66.6795
69.2899	71.9692
0	-3.05079
69.2899	87.2504
0	-7.18129
69.2899	64.3113
69.2899	70.2235
69.2899	78.4111
69.2899	60.1288
69.2899	62.6531
69.2899	65.6406
69.2899	67.2172
69.2899	84.0822
69.2899	65.7174
0	-3.41739
69.2899	69.1859
69.2899	63.3167
69.2899	66.0118
0	1.61961
69.2899	71.673
69.2899	75.8659
69.2899	75.0256
0	0.394895
69.2899	57.5059
69.2899	71.1504
69.2899	62.4841
0	-0.197613
69.2899	62.6333
0	-5.62737
69.2899	73.6795
0	3.90831
69.2899	69.1085
69.2899	73.8089
69.2899	69.9882
0	-2.23471
69.2899	65.262
69.2899	72.6594
69.2899	69.1883
0	0.938518
0	1.36673
69.2899	69.167
69.2899	78.6221
69.2899	66.4627
69.2899	66.3691
69.2899	79.0497
0	-3.92798
0	0.171236
69.2899	71.8848
0	-3.87809
69.2899	75.3357
0	-6.04408
69.2899	57.9425
69.2899	71.2968
0	5.95296
69.2899	68.4195
69.2899	64.8079
69.2899	68.5138
0	1.95776
69.2899	63.8248
0	2.78595
69.2899	63.1378
69.2899	59.0101
0	-1.7557
69.2899	69.8257
69.2899	75.0395
69.2899	56.1957
69.2899	68.2841
0	0.369498
69.2899	68.6389
69.2899	72.2463
69.2899	66.169
0	-3.15699
0	4.37048
69.2899	75.4087
69.2899	63.8348
0	1.13211
69.2899	65.4639
0	1.63806
69.2899	71.8667
0	-2.66804
69.2899	71.2042
69.2899	56.2941
69.2899	87.2945
69.2899	73.2098
69.2899	63.9917
69.2899	77.7806
69.2899	59.5559
69.2899	67.7664
69.2899	61.728
69.2899	72.6762
69.2899	61.5215
69.2899	74.4917
69.2899	64.453
69.2899	59.9643
69.2899	70.8621
69.2899	78.6671
69.2899	72.7435
0	0.448124
69.2899	52.2601
0	-1.13684
69.2899	53.5489
69.2899	64.9504
0	-0.573128
69.2899	80.7134
0	-0.0497129
69.2899	70.2316
69.2899	77.3669
69.2899	73.1386
69.2899	70.3732
69.2899	69.0216
69.2899	49.7408
69.2899	67.2867
69.2899	80.3183
69.2899	62.1832
69.2899	70.7661
69.2899	75.5521
0	-1.01546
0	-1.83281
69.2899	73.5169
69.2899	71.168
69.2899	66.5408
69.2899	87.949
69.2899	80.8496
69.2899	63.9262
0	-0.680162
0	-3.16785
69.2899	65.5673
69.2899	71.9592
69.2899	65.0309
69.2899	51.9797
69.2899	63.4925
69.2899	87.3785
69.2899	69.8178
69.2899	69.9477
0	-1.7304
69.2899	72.1516
69.2899	61.7767
69.2899	60.6347
0	9.43673
69.2899	63.6952
0	0.186295
69.2899	69.7912
69.2899	50.5279
0	5.08297
69.2899	61.8879
0	-1.618
69.2899	56.7724
69.2899	69.5679
0	2.61702
69.2899	73.7522
69.2899	52.9583
69.2899	52.9142
0	-7.25628
69.2899	78.7804
0	-1.31042
0	-2.04549
69.2899	67.845
69.2899	68.1086
0	3.70788
69.2899	79.8899
69.2899	86.3748
69.2899	63.1923
69.2899	72.2712
69.2899	74.8205
69.2899	64.6452
69.2899	71.4142
69.2899	70.5722
69.2899	60.3188
69.2899	68.1262
69.2899	70.765
69.2899	69.7002
0	-0.777474
69.2899	67.8755
69.2899	70.8103
69.2899	64.6101
69.2899	69.7874
69.2899	57.4615
69.2899	63.3118
69.2899	62.7349
0	0.293266
0	-2.55064
69.2899	70.5589
69.2899	72.4722
69.2899	62.0613
0	2.08629
69.2899	62.2095
0	5.51343
69.2899	63.0801
69.2899	63.3846
0	0.508317
69.2899	76.2231
69.2899	70.6996
0	-0.219065
0	0.176796
0	5.04291
69.2899	84.2153
69.2899	82.0647
69.2899	57.1266
69.2899	77.4905
69.2899	68.883
69.2899	72.8681
69.2899	73.6766
0	6.27162
0	1.44667
69.2899	61.839
69.2899	74.8832
69.2899	72.3208
69.2899	72.5974
69.2899	69.0002
69.2899	69.0685
0	1.73019
69.2899	71.84
69.2899	80.2854
69.2899	77.171
69.2899	67.4103
69.2899	64.7195
0	5.63217
69.2899	73.9639
69.2899	60.1671
69.2899	58.9873
0	-4.62763
69.2899	71.0163
69.2899	59.7251
69.2899	73.6539
69.2899	76.6203
69.2899	60.8428
69.2899	73.4105
69.2899	71.8495
69.2899	72.4877
0	2.05546
69.2899	84.2399
69.2899	65.4242
69.2899	63.5578
69.2899	67.6163
69.2899	78.828
69.2899	63.9961
69.2899	72.5413
69.2899	75.6502
69.2899	73.3504
69.2899	74.4265
69.2899	87.8356
69.2899	54.8921
0	-6.76874
69.2899	75.3127
69.2899	77.7411
0	-0.767479
0	-0.228665
69.2899	72.2365
69.2899	62.2483
69.2899	67.7448
69.2899	62.7761
69.2899	71.4679
69.2899	74.1176
69.2899	60.1387
0	1.65964
69.2899	70.1134
69.2899	76.4074
0	-0.896755
69.2899	67.8001
0	0.740411
69.2899	58.7753
69.2899	55.2466
69.2899	69.175
69.2899	87.7129
0	5.2721
0	-0.81905
69.2899	75.9357
69.2899	66.8616
69.2899	64.1414
0	2.77284
69.2899	64.6154
69.2899	64.8223
69.2899	51.3987
69.2899	66.9001
0	0.41013
69.2899	76.3394
69.2899	65.2187
69.2899	62.4117
0	1.95668
0	0.655766
69.2899	64.9303
69.2899	70.5257
69.2899	80.5804
0	5.40717
69.2899	57.5795
69.2899	65.7346
69.2899	48.9977
69.2899	77.1615
69.2899	62.2401
0	-1.01187
69.2899	66.8283
69.2899	71.0059
69.2899	72.8073
69.2899	78.5786
69.2899	87.1768
69.2899	78.0964
69.2899	62.2699
69.2899	59.3501
69.2899	59.3956
69.2899	73.2072
69.2899	76.7274
69.2899	62.9617
69.2899	81.3369
0	-0.52285
69.2899	75.015
0	-2.23222
69.2899	76.3085
69.2899	68.238
69.2899	71.6757
69.2899	69.1423
69.2899	76.1618
0	-0.331938
69.2899	77.0576
69.2899	66.446
69.2899	78.6313
69.2899	68.1929
69.2899	77.9329
0	-3.55881
69.2899	65.267
69.2899	62.6336
0	1.26406
69.2899	73.007
69.2899	63.7039
0	-1.25414
0	7.33557
69.2899	68.1037
69.2899	63.0256
69.2899	80.417
69.2899	73.5019
0	0.235622
0	1.49927
69.2899	77.79
0	0.715186
69.2899	74.7624
69.2899	65.0685
0	7.83112
0	4.34389
69.2899	60.015
0	-2.02647
0	-2.94709
69.2899	68.1245
0	-7.67698
69.2899	66.375
69.2899	68.1935
0	-0.155979
0	-4.30306
69.2899	62.2571
69.2899	70.0783
0	-2.27349
69.2899	71.8559
69.2899	71.1203
69.2899	63.2471
69.2899	76.2471
69.2899	63.498
0	1.05505
69.2899	80.8407
69.2899	70.7628
69.2899	73.4932
69.2899	72.0169
69.2899	60.4883
0	-2.1426
0	-4.20716
69.2899	67.1157
69.2899	79.4777
69.2899	69.01
69.2899	70.3692
69.2899	58.8181
69.2899	49.5932
69.2899	67.9753
69.2899	58.9615
69.2899	59.3203
69.2899	58.7167
69.2899	73.5375
69.2899	56.7036
69.2899	64.0595
69.2899	78.9555
69.2899	77.8311
69.2899	67.3773
69.2899	59.4143
69.2899	59.6405
69.2899	81.0472
69.2899	67.4123
69.2899	79.2415
69.2899	67.9396
69.2899	59.0793
69.2899	63.9451
0	6.43621
69.2899	78.7851
69.2899	59.6205
69.2899	70.7369
69.2899	75.8965
69.2899	53.869
69.2899	69.1829
69.2899	66.1291
0	2.43889
69.2899	71.2973
